InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,Change,OverallZScore,CPPChangeScore,Strategic Area
S02001780,Burntisland West,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2021/22,22.804878048780488,Child Poverty (%),No,-0.4041221948343279,0.6088225826908985,0.8540592114911436,Kirkcaldy
S02001781,Burntisland East,Fife,45,"Accessible Small Town, Dep - OP, HH Inc 0-50%",Child Poverty,Raw data,2021/22,17.582417582417584,Child Poverty (%),No,-0.56237107643469475,0.35559975449657244,0.5400941785992922,Kirkcaldy
S02001782,Kinghorn,Fife,54,"Accessible Rural, Dep -OP, HH Inc 0-40%",Child Poverty,Raw data,2021/22,25.41899441340782,Child Poverty (%),No,-1.7374694668296091,-1.5247404716912294,-1.7912954720599872,Kirkcaldy
S02001783,Kirkcaldy Linktown & Seafield,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",Child Poverty,Raw data,2021/22,35.55555555555556,Child Poverty (%),No,-0.8707509859154936,-0.1378560731044052,-0.07173010378540383,Kirkcaldy
S02001784,Kirkcaldy Central,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,23.210412147505423,Child Poverty (%),No,-0.7782361861565767,0.010181998368008729,0.11181882152481484,Kirkcaldy
S02001785,Kirkcaldy Bennochy East,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Child Poverty,Raw data,2021/22,25.892857142857142,Child Poverty (%),No,-1.0530516353001347,-0.42956547131309386,-0.43341373024410745,Kirkcaldy
S02001786,Kirkcaldy Bennochy West,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,40.30131826741996,Child Poverty (%),No,-1.587872900616333,-1.2853626940943625,-1.4944965919878366,Kirkcaldy
S02001787,Kirkcaldy Raith,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Child Poverty,Raw data,2021/22,10.638297872340424,Child Poverty (%),No,-1.456874335106383,-1.0757446107792492,-1.2345960573794363,Kirkcaldy
S02001788,Kirkcaldy Newliston and Redcraigs,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",Child Poverty,Raw data,2021/22,19.78494623655914,Child Poverty (%),No,-0.4239694096858533,0.577063951440818,0.8146824310636706,Kirkcaldy
S02001789,Kirkcaldy Templehall West,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,39.66101694915255,Child Poverty (%),No,-1.0050234452041606,-0.35271289576143783,-0.33812602817175597,Kirkcaldy
S02001790,Kirkcaldy Templehall East,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Child Poverty,Raw data,2021/22,39.17228103946102,Child Poverty (%),No,-0.5013068017579456,0.45331209330684386,0.6612454108450823,Kirkcaldy
S02001791,Kirkcaldy Dunnikier,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Child Poverty,Raw data,2021/22,10.638297872340424,Child Poverty (%),No,-0.3048675926917499,0.7676453864394713,1.050979872864651,Kirkcaldy
S02001792,Kirkcaldy Chapel,Fife,30,"Other Urban, Dep - Child, HH Inc 60-80%",Child Poverty,Raw data,2021/22,17.387755102040817,Child Poverty (%),No,-0.25355970785077586,0.8497459837815136,1.1527744738046326,Kirkcaldy
S02001793,Kirkcaldy Hayfield and Smeaton,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Child Poverty,Raw data,2021/22,35.093896713615024,Child Poverty (%),No,-0.656032715686834,0.20572656142947895,0.35426992915679595,Kirkcaldy
S02001794,Kirkcaldy Pathhead,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Child Poverty,Raw data,2021/22,19.090909090909093,Child Poverty (%),No,-1.5293580056818188,-1.1917297594602312,-1.3784033170971317,Kirkcaldy
S02001795,Kirkcaldy Gallatown and Sinclairtown,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,35.237068965517246,Child Poverty (%),No,-0.10841512067320713,1.0819999023590756,1.4407406485189687,Kirkcaldy
S02001796,Dysart,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,33.965244865718795,Child Poverty (%),No,-0.9548608503463358,-0.27244494055691204,-0.23860367714339292,Kirkcaldy
S02001797,Wemyss,Fife,59,"Accessible Rural, Dep - not OP or Child, HH Inc 0-60%",Child Poverty,Raw data,2021/22,23.61111111111111,Child Poverty (%),No,-0.266496728448923,0.82904473830577,0.6947790172260117,Levenmouth
S02001798,Thornton and Kinglassie,Fife,57,"Accessible Rural, Dep -Child, HH Inc 0-90%",Child Poverty,Raw data,2021/22,27.46987951807229,Child Poverty (%),No,-0.5979409186746991,0.29868247356952016,0.6899780020019988,Glenrothes
S02001799,Leslie and Newcastle,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Child Poverty,Raw data,2021/22,26.745718050065875,Child Poverty (%),No,-1.0086280817687756,-0.3584808750120562,-0.14708454972371363,Glenrothes
S02001800,Glenrothes Macedonia and Tanshall,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,36.015701668302256,Child Poverty (%),No,-0.6943101334836845,0.14447673841353,0.4935582740317476,Glenrothes
S02001801,Glenrothes South Parks,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",Child Poverty,Raw data,2021/22,27.906976744186046,Child Poverty (%),No,-0.8796524414651574,-0.1520997867189141,0.11579359277686806,Glenrothes
S02001802,Glenrothes Caskieberran and Rimbleton,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Child Poverty,Raw data,2021/22,28.322981366459626,Child Poverty (%),No,-0.8815162634321354,-0.1550821918073794,0.11199475095311319,Glenrothes
S02001803,Glenrothes Auchmuty,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,35.77981651376147,Child Poverty (%),No,-0.6260113735033268,0.2537653791261197,0.6327648026170205,Glenrothes
S02001804,Glenrothes Stenton and Finglassie,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Child Poverty,Raw data,2021/22,23.851203501094098,Child Poverty (%),No,-1.9767839253966102,-1.907680833817551,-2.120379733409877,Glenrothes
S02001805,Glenrothes Pitteuchar,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Child Poverty,Raw data,2021/22,21.444201312910284,Child Poverty (%),No,-0.7679229177730056,0.026684832142278896,0.34352070141168867,Glenrothes
S02001806,Glenrothes Woodside,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Child Poverty,Raw data,2021/22,28.846153846153843,Child Poverty (%),No,-1.1224609134615386,-0.5406311138706374,-0.379098620601991,Glenrothes
S02001807,Glenrothes Balgeddie and Town Park,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Child Poverty,Raw data,2021/22,12.172284644194756,Child Poverty (%),No,-1.5974301264044946,-1.3006557421039,-1.3471808425586345,Glenrothes
S02001808,Glenrothes Collydean,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,32.61296660117878,Child Poverty (%),No,-0.05677409334966188,1.164633579497798,1.7929841936323703,Glenrothes
S02001809,Glenrothes Cadham and Pitcoudie,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,38.285714285714285,Child Poverty (%),No,-1.3681920500000007,-0.9338391589474704,-0.8799478086790635,Glenrothes
S02001810,Glenrothes Balfarg Pitcairn and Coul,Fife,35,"Other Urban, Dep - Adult, HH Inc 0-40%",Child Poverty,Raw data,2021/22,15.348837209302326,Child Poverty (%),No,-0.41427071708630403,0.5925833683555443,1.0643345961046,Glenrothes
S02001811,Markinch and Star,Fife,43,"Other Urban, Dep - Average, HH Inc 60-80%",Child Poverty,Raw data,2021/22,15.724137931034482,Child Poverty (%),No,-1.1186039503214498,-0.5344593728466408,-0.37123735855612755,Glenrothes
S02001812,Windygates and Coaltown,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Child Poverty,Raw data,2021/22,17.12473572938689,Child Poverty (%),No,-0.28197367016799024,0.8042792239193993,0.6636510730491004,Levenmouth
S02001813,"Buckhaven, Denbeath and Muiredge",Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Child Poverty,Raw data,2021/22,34.74114441416894,Child Poverty (%),No,-0.8223470454115411,-0.06040223844721088,-0.42317296264185844,Levenmouth
S02001814,Methil Methilhill,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,36.809815950920246,Child Poverty (%),No,-0.7563226985315652,0.04524698749077499,-0.2903817289923216,Levenmouth
S02001815,Methil West,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,34.32539682539682,Child Poverty (%),No,-0.12362755028516137,1.0576576484923208,0.9821241454307589,Levenmouth
S02001816,Methil East,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Child Poverty,Raw data,2021/22,39.94082840236686,Child Poverty (%),No,-0.6271691866750115,0.2519126979388046,-0.030622186034945008,Levenmouth
S02001817,Leven East,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",Child Poverty,Raw data,2021/22,16.459627329192546,Child Poverty (%),No,-0.17927413685656046,0.9686144534411564,0.8702051454195234,Levenmouth
S02001818,Leven West,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",Child Poverty,Raw data,2021/22,24.38118811881188,Child Poverty (%),No,-0.708234177023982,0.12219610268632704,-0.19366386055232424,Levenmouth
S02001819,Leven North,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,29.555555555555557,Child Poverty (%),No,-1.8413379431818186,-1.6909461919222468,-2.4726147941308785,Levenmouth
S02001820,Largo,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,15.549597855227882,Child Poverty (%),No,-0.22518472967606762,0.895150362951137,0.7778676283340967,Levenmouth
S02001821,Kennoway and Bonnybank,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,29.321663019693656,Child Poverty (%),No,-0.8994129435411347,-0.18371966403883827,-0.5781714771071633,Levenmouth
S02001822,Kettle and Ladybank,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,19.755244755244757,Child Poverty (%),No,-1.1512487480178892,-0.5866961274759693,-0.394309732766808,North East Fife
S02001823,Falkland and Freuchie,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,12.82051282051282,Child Poverty (%),No,-0.9571125097200319,-0.276047945829186,-0.16003575222138347,North East Fife
