year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Participation,Emergency Admissions,Depopulation,Early Mortality
2013,Shetland Islands,0.110747479,,,0.107089955,,0.071576906,-0.075560488,0.045925001
2013,South Ayrshire,0.253040304,,,0.281605541,,0.245751315,0.021265149,0.263980142
2013,South Lanarkshire,0.229283602,,,0.24982072,,0.138069513,-0.075275976,0.24038587
2013,Stirling,0.296927379,,,0.351686877,,0.307946124,-0.07978959,0.318918207
2013,West Dunbartonshire,0.177638277,,,0.217204292,,0.123360111,-0.024510171,0.191439397
2013,West Lothian,0.216817267,,,0.258190631,,0.177675023,-0.031621135,0.206059076
2014,Aberdeen City,0.316704997,0.353747368,,0.328224364,,0.31677917,0.022439938,0.282737027
2014,Aberdeenshire,0.294246898,0.329858074,,0.286899006,,0.190688975,-0.179107283,0.283751631
2014,Angus,0.272391916,0.268778534,,0.271237682,,0.208067869,-0.017563625,0.272212428
2014,Argyll and Bute,0.193623102,0.145439535,,0.196710694,,0.200604941,-0.04285411,0.195085883
2014,Clackmannanshire,0.226931985,0.22755708,,0.239774897,,0.162643463,-0.052913437,0.224899275
2014,Dumfries and Galloway,0.188976181,0.200252475,,0.202903545,,0.178853513,-0.041803394,0.199440496
2014,Dundee City,0.27344771,0.282652431,,0.324280097,,0.212683789,-0.055677529,0.232615769
2014,East Ayrshire,0.240578,0.266128666,,0.249455575,,0.220624281,-0.102208476,0.245075926
2014,East Dunbartonshire,0.326473951,0.32853155,,0.324591755,,0.317290739,0.066452093,0.351375621
2014,East Lothian,0.221422688,0.22553122,,0.24179132,,0.216051768,-0.011605192,0.213008059
2014,East Renfrewshire,0.383401378,0.387345672,,0.410792678,,0.367083238,0.054341244,0.385109666
2014,"Edinburgh, City of",0.396944051,0.413142565,,0.448744469,,0.401382853,0.056616863,0.42060911
2014,Eilean Siar,0.062533202,0.074418022,,0.030271465,,-0.017482595,-0.033243757,0.032330287
2014,Falkirk,0.249550741,0.276254599,,0.247589515,,0.200265389,-0.100320799,0.220996754
2014,Fife,0.336733699,0.363059653,,0.337473254,,0.288130741,-0.116930286,0.33303422
2014,Glasgow City,0.220311102,0.204282131,,0.280574284,,0.201159861,-0.106025517,0.24108703
2014,Highland,0.213035402,0.24002783,,0.251992319,,0.211926201,-0.098007614,0.226988509
2014,Inverclyde,0.324005282,0.335195124,,0.320806381,,0.261639105,-0.221484861,0.356511096
2014,Midlothian,0.250567465,0.266161453,,0.253605605,,0.163905119,-0.115798158,0.24401731
2014,Moray,0.143503238,0.163579319,,0.106404019,,0.06997463,-0.029592622,0.134084005
2014,North Ayrshire,0.280366394,0.307844728,,0.276352612,,0.198450211,-0.101380727,0.309088793
2014,North Lanarkshire,0.187459695,0.221147565,,0.203132398,,0.161188544,-0.043307388,0.19572783
2014,Orkney Islands,0.113511831,0.041090787,,-0.048898597,,0.095687279,-0.160893235,0.16015012
2014,Perth and Kinross,0.242527552,0.284640895,,0.279554386,,0.231547612,-0.01526303,0.259077407
2014,Renfrewshire,0.295893907,0.348022249,,0.335585442,,0.314621986,-0.018468596,0.343844592
2014,Scottish Borders,0.215222521,0.22134705,,0.229137255,,0.170858274,-0.154370837,0.179711216
2014,Shetland Islands,0.094476025,0.089572701,,0.069202177,,0.034726429,-0.075560488,0.064537087
2014,South Ayrshire,0.252789254,0.32038811,,0.26884615,,0.272526972,-0.007601884,0.273092747
2014,South Lanarkshire,0.22767163,0.259155994,,0.252721247,,0.149904421,-0.075239069,0.246958076
2014,Stirling,0.299505091,0.346248021,,0.345916009,,0.307851515,-0.083133332,0.330002821
2014,West Dunbartonshire,0.179450923,0.217529529,,0.22243504,,0.127240586,-0.023932581,0.178599188
2014,West Lothian,0.234275216,0.261496797,,0.249194247,,0.193534875,-0.017377413,0.22085662
2015,Aberdeen City,0.314117528,0.347899729,,0.332272427,0.303719957,0.314372791,0.006929054,0.252708825
2015,Aberdeenshire,0.291976631,0.326536862,,0.299621805,0.237642701,0.218726362,-0.17897586,0.200462549
2015,Angus,0.263205527,0.281036207,,0.272980209,0.225488601,0.166357185,-0.021801602,0.224383401
2015,Argyll and Bute,0.193330347,0.140388611,,0.165505197,0.119984196,0.182272568,-0.063233027,0.175656568
2015,Clackmannanshire,0.231138702,0.21894379,,0.233946711,0.236430596,0.088117026,-0.081811637,0.18659783
2015,Dumfries and Galloway,0.190570293,0.205978512,,0.21350005,0.179325959,0.162776823,-0.048529341,0.139518085
